preset_name|preset_description(translatable)|encoder_name|encoder_options
h264-cpu-uhq|H.264 / AVC, x264 software encoder, Indistinguishable Quality, Slow, Very Large File Size|libx264|-crf 16 -preset veryslow -tune grain -profile high
h264-cpu-fast|H.264 / AVC, x264 software encoder, Fast, Medium File Size|libx264|-preset veryfast -crf 23
h264-nvidia-gpu-fast|H.264 / AVC, Nvidia hardware encoder, Fast, Medium File Size|h264_nvenc|-preset p4 -rc constqp -qp 23
h264-intel-gpu-fast|H.264 / AVC, Intel Quick Sync hardware encoder, Fast, Medium File Size|h264_qsv|-preset veryfast -global_quality 25 -look_ahead 1

hevc-nvidia-gpu-balanced|H.265 / HEVC, Nvidia hardware encoder, Excellent Quality, Smaller File Size|hevc_nvenc|-preset p7 -tune hq -rc constqp -qp 24 -spatial_aq 1 -aq-strength 6 -bf 3 -b_ref_mode middle -rc-lookahead 32
hevc-nvidia-gpu-hq|H.265 / HEVC, Nvidia hardware encoder, High Quality, Medium File Size|hevc_nvenc|-preset p7 -tune hq -rc constqp -qp 20 -spatial_aq 1 -aq-strength 6 -bf 3 -b_ref_mode middle -rc-lookahead 32
hevc-nvidia-gpu-uhq|H.265 / HEVC, Nvidia hardware encoder, Indistinguishable Quality, Large File Size|hevc_nvenc|-preset p7 -tune hq -rc constqp -qp 18 -spatial_aq 1 -aq-strength 6 -bf 3 -b_ref_mode middle -rc-lookahead 32
hevc-intel-gpu-balanced|H.265 / HEVC, Intel Quick Sync hardware encoder, Good Quality, Balanced Speed and Size|hevc_qsv|-preset medium -global_quality 24 -look_ahead 1
hevc-intel-gpu-hq|H.265 / HEVC, Intel Quick Sync hardware encoder, High Quality, Slower|hevc_qsv|-preset slow -global_quality 21 -look_ahead 1
hevc-intel-gpu-uhq|H.265 / HEVC, Intel Quick Sync hardware encoder, Indistinguishable Quality, Very Slow|hevc_qsv|-preset veryslow -global_quality 18 -look_ahead 1

av1-cpu-uhq|AV1, SVT-AV1 software encoder, Indistinguishable Quality, Smaller File Size|libsvtav1|-crf 18 -preset 4 -svtav1-params tune=0:enable-overlays=1:film-grain=0:film-grain-denoise=0
